Dataset,Latitude,Longitude,day,month,year,depth,Phytoplankton (mg C/m3),Microzooplankton (mg C/m3),notes
Benguela,-25.033,14.767,28,10,0,10,110.8808701,0.18,THIS is a Hacked together dataset
Benguela,-25.017,14.75,28,10,0,5,31.65868993,1.487099945,DO
Benguela,-25,14.733,28,10,0,2,9.431416641,1.694477047,NOT
Benguela,-25.033,14.667,28,10,0,7,47.70613842,16.40495428,PUBLISH
Benguela,-25.017,14.65,28,10,0,2,87.22347155,5.121534044,
Benguela,-25.05,14.467,28,10,0,14,21.73757958,1.03393358,
Benguela,-23.75,14.4,25,10,0,12,66.46271813,2.240861219,
Benguela,-23,14.367,25,10,0,2,207.1617179,6.655838422,
Benguela,-24.267,14.333,25,10,0,12,12.01555482,2.096330528,
Benguela,-24.25,14.317,25,10,0,2,22.3710611,2.21868324,
Benguela,-23,14.3,25,10,0,2,45.51000726,5.317366165,
Benguela,-25.1,14.3,28,10,0,25,10.25232275,2.099539019,
Benguela,-25.083,14.283,28,10,0,2,44.5988876,1.616226631,
Benguela,-22.983,14.217,25,10,0,10,16.44582603,1.934226697,
Benguela,-24,14.167,25,10,0,24,27.21488545,3.100355078,
Benguela,-25.117,14.1,28,10,0,10,289.2091903,8.180810756,
Benguela,-22.983,14.05,25,10,0,10,5.539761443,3.250941853,
Benguela,-25.15,13.917,28,10,0,10,33.97699722,1.972654541,
Benguela,-22.983,13.867,24,10,0,10,52.64934191,3.716467804,
Benguela,-21.75,13.85,22,10,0,2,35.70937244,4.598569924,
Benguela,-25.583,13.733,28,10,0,2,397.7627773,3.371474074,
Benguela,-23,13.683,24,10,0,10,32.35021125,11.11951733,
Benguela,-21.25,13.583,22,10,0,5,28.99707024,3.401151879,
Benguela,-21.25,13.583,22,10,0,1,64.9581452,4.247726759,
Benguela,-21.3,13.5,21,10,0,10,30.96875097,4.594004232,
Benguela,-22.983,13.5,24,10,0,10,38.80097036,2.822346824,
Benguela,-21.383,13.35,21,10,0,10,55.07404798,5.64374915,
Benguela,-21.467,13.183,21,10,0,10,26.58712638,2.652231132,
Benguela,-21.533,13.033,21,10,0,10,40.98245934,4.025576996,
Benguela,-25.3,13,27,10,0,20,36.5295185,2.989116429,
Benguela,-22.983,12.95,24,10,0,10,99.7744797,3.273376699,
Benguela,-21.617,12.867,21,10,0,10,248.8250724,4.041042317,
Benguela,-25.333,12.817,27,10,0,10,12.5725139,15.10116122,
Benguela,-22.983,12.75,24,10,0,2,36.59617299,3.892745979,
Benguela,-19.8,12.733,19,10,0,2,45.62793809,5.06070301,
Benguela,-19.867,12.583,19,10,0,30,28.22006685,5.208001761,
Benguela,-19.95,12.417,19,10,0,10,14.7040398,6.122883725,
Benguela,-21.867,12.4,21,10,0,10,576.0233718,15.75228131,
Benguela,-20.017,12.267,19,10,0,20,720.1629503,47.99657245,
Benguela,-21.95,12.25,21,10,0,20,53.38744499,7.195294295,
Benguela,-18.75,12.2,17,10,0,10,118.0549646,7.710022292,
Benguela,-18.8,12.133,17,10,0,10,419.1279546,14.74030978,
Benguela,-25.467,12.1,26,10,0,2,62.91010364,9.197076782,
Benguela,-18.917,12,16,10,0,10,253.3082463,23.46637459,
Benguela,-20.2,11.9,18,10,0,20,322.742223,9.17108572,
Benguela,-19.033,11.867,16,10,0,10,15.39532003,12.71037238,
Benguela,-20.25,11.783,18,10,0,20,60.60930896,13.05648895,
Benguela,-19.183,11.75,16,10,0,10,105.9214475,14.71594381,
Benguela,-20.283,11.717,18,10,0,20,47.62546144,14.96511622,
Benguela,-19.267,11.617,16,10,0,2,15.97374758,18.12031606,
Benguela,-19.483,11.367,15,10,0,20,13.75754145,26.40102161,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,6,6,0,1.5,118.3931936,0.564199537,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,8,6,0,1.5,108.3770413,2.361249699,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,10,6,0,1.5,88.66189972,1.260428513,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,12,6,0,1.5,109.7069436,1.320403232,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,14,6,0,1.5,135.492577,1.589158535,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,16,6,0,1.5,258.0485041,1.884800675,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,18,6,0,1.5,250.7717306,2.039751745,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,20,6,0,1.5,171.2961446,1.923915486,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,22,6,0,1.5,152.7118354,6.505539247,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,24,6,0,1.5,111.161337,3.975204427,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,6,6,0,1.5,167.3820634,4.11394183,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,8,6,0,1.5,165.9966743,3.543940089,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,10,6,0,1.5,133.1527717,6.733553069,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,12,6,0,1.5,235.2781557,3.053163368,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,14,6,0,1.5,689.1597789,4.728079197,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,16,6,0,1.5,90.5316901,5.210573246,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,18,6,0,1.5,193.0092384,6.423381293,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,20,6,0,1.5,73.71509814,7.774485109,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,22,6,0,1.5,46.64144831,4.183674177,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,24,6,0,1.5,49.56784794,5.229014907,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,6,6,0,1.5,108.6639004,8.769295833,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,8,6,0,1.5,183.2509176,4.769038868,Mesocosm set 1.5
Bergen_mesocosms,60.283,5.167,10,6,0,1.5,88.92571962,8.380743568,Mesocosm set 1.5
